Locus Tag	Entry	Protein names	Gene Names
MOBHGNKF_00001	P62558	Protein SopB (Plasmid partition protein B)	sopB B ECOK12F047
MOBHGNKF_00001	P62559	Protein SopB (Plasmid partition protein B)	sopB B L7069 ECO57PM34
MOBHGNKF_00001	P0A248	Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)	virB invE
MOBHGNKF_00001	P0A247	Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)	virB invE CP0123
MOBHGNKF_00001	P07621	Plasmid Partition par B protein	parB
MOBHGNKF_00001	P05683	Putative replication protein B	repB
MOBHGNKF_00002	P62556	Protein SopA (Plasmid partition protein A)	sopA A ECOK12F046
MOBHGNKF_00002	P62557	Protein SopA (Plasmid partition protein A)	sopA A L7068 ECO57PM33
MOBHGNKF_00002	P55393	Putative replication protein A	NGR_a00010 y4cK
MOBHGNKF_00002	P05682	Putative replication protein A	repA
MOBHGNKF_00002	P37522	Sporulation initiation inhibitor protein Soj (EC 3.6.-.-)	soj orf253 BSU40970
MOBHGNKF_00002	P37522	Sporulation initiation inhibitor protein Soj (EC 3.6.-.-)	soj orf253 BSU40970
MOBHGNKF_00002	B8GW31	Chromosome partitioning protein ParA	parA CCNA_03869
MOBHGNKF_00002	B8GW31	Chromosome partitioning protein ParA	parA CCNA_03869
MOBHGNKF_00002	P0CAV7	Chromosome partitioning protein ParA	parA CC_3753
MOBHGNKF_00002	P0CAV7	Chromosome partitioning protein ParA	parA CC_3753
MOBHGNKF_00002	Q9K5N0	Sporulation initiation inhibitor protein Soj (EC 3.6.-.-)	soj BH4058
MOBHGNKF_00002	Q9K5N0	Sporulation initiation inhibitor protein Soj (EC 3.6.-.-)	soj BH4058
MOBHGNKF_00002	Q1DEM0	Cell division protein PomZ (Adventurous gliding motility protein E) (Positioning at midcell of FtsZ)	pomZ agmE MXAN_0635
MOBHGNKF_00002	Q60283	Uncharacterized protein MJECL24	MJECL24
MOBHGNKF_00003	P03856	Replication initiation protein (Protein E) (Protein rep) (Protein F4)	repE E rep ECOK12F045
MOBHGNKF_00003	P62539	Replication initiation protein (Protein E) (Protein rep)	repE rep HCM1.137
MOBHGNKF_00003	P62538	Replication initiation protein (Protein E) (Protein rep)	repE E rep
MOBHGNKF_00003	P18351	Uncharacterized 27.6 kDa protein (ORF 239)	
MOBHGNKF_00003	P17492	Replication protein	
MOBHGNKF_00003	P22308	Replication initiation protein	repA
MOBHGNKF_00006	P06615	Resolvase (Protein D)	resD D ECOK12F044
MOBHGNKF_00006	P06615	Resolvase (Protein D)	resD D ECOK12F044
MOBHGNKF_00006	P06615	Resolvase (Protein D)	resD D ECOK12F044
MOBHGNKF_00006	P18021	Resolvase (Protein D)	resD D
MOBHGNKF_00006	P18021	Resolvase (Protein D)	resD D
MOBHGNKF_00006	P18021	Resolvase (Protein D)	resD D
MOBHGNKF_00006	P56979	Probable site-specific recombinase	intM int ECOK12F032
MOBHGNKF_00006	P56979	Probable site-specific recombinase	intM int ECOK12F032
MOBHGNKF_00006	P56979	Probable site-specific recombinase	intM int ECOK12F032
MOBHGNKF_00006	Q47036	Probable site-specific recombinase in afa region	int
MOBHGNKF_00006	Q47036	Probable site-specific recombinase in afa region	int
MOBHGNKF_00006	Q47036	Probable site-specific recombinase in afa region	int
MOBHGNKF_00006	P03850	Uncharacterized 10.0 kDa protein	
MOBHGNKF_00006	P03850	Uncharacterized 10.0 kDa protein	
MOBHGNKF_00006	Q7ZAN4	Tyrosine recombinase XerD	xerD CE1553
MOBHGNKF_00006	Q7ZAN4	Tyrosine recombinase XerD	xerD CE1553
MOBHGNKF_00006	Q8NQL5	Tyrosine recombinase XerD	xerD Cgl1419 cg1608
MOBHGNKF_00006	Q8NQL5	Tyrosine recombinase XerD	xerD Cgl1419 cg1608
MOBHGNKF_00006	Q49890	Tyrosine recombinase XerD	xerD ML1365 MLC1351.07c u0247d
MOBHGNKF_00006	Q49890	Tyrosine recombinase XerD	xerD ML1365 MLC1351.07c u0247d
MOBHGNKF_00006	B7IFN3	Tyrosine recombinase THA_404	THA_404
MOBHGNKF_00006	B7IFN3	Tyrosine recombinase THA_404	THA_404
MOBHGNKF_00006	Q7ZAP1	Tyrosine recombinase XerD	xerD BL1368
MOBHGNKF_00006	Q7ZAP1	Tyrosine recombinase XerD	xerD BL1368
MOBHGNKF_00007	P62554	Toxin CcdB (Cytotoxic protein CcdB) (LynB) (Protein G) (Protein LetD)	ccdB G letB letD ECOK12F043
MOBHGNKF_00007	P62554	Toxin CcdB (Cytotoxic protein CcdB) (LynB) (Protein G) (Protein LetD)	ccdB G letB letD ECOK12F043
MOBHGNKF_00007	P62555	Toxin CcdB (Cytotoxic protein CcdB) (LynB) (Protein G) (Protein LetD)	ccdB G letB letD L7063 ECO57PM28
MOBHGNKF_00007	P62555	Toxin CcdB (Cytotoxic protein CcdB) (LynB) (Protein G) (Protein LetD)	ccdB G letB letD L7063 ECO57PM28
MOBHGNKF_00007	Q52043	Toxin CcdB (Cytotoxic protein CcdB) (Protein LetD)	ccdB letB
MOBHGNKF_00007	Q52043	Toxin CcdB (Cytotoxic protein CcdB) (Protein LetD)	ccdB letB
MOBHGNKF_00007	Q52042	Toxin CcdB (Cytotoxic protein CcdB) (Protein LetD)	ccdB letB
MOBHGNKF_00007	Q52042	Toxin CcdB (Cytotoxic protein CcdB) (Protein LetD)	ccdB letB
MOBHGNKF_00007	Q46996	Toxin CcdB (Cytotoxic protein CcdB) (Protein LetD)	ccdB letB
MOBHGNKF_00007	Q46996	Toxin CcdB (Cytotoxic protein CcdB) (Protein LetD)	ccdB letB
MOBHGNKF_00008	P62552	Antitoxin CcdA (LynA) (Protein H) (Protein LetA)	ccdA H letA ECOK12F042
MOBHGNKF_00008	P62552	Antitoxin CcdA (LynA) (Protein H) (Protein LetA)	ccdA H letA ECOK12F042
MOBHGNKF_00008	P62553	Antitoxin CcdA (LynA) (Protein H) (Protein LetA)	ccdA H letA L7062 ECO57PM27
MOBHGNKF_00008	P62553	Antitoxin CcdA (LynA) (Protein H) (Protein LetA)	ccdA H letA L7062 ECO57PM27
MOBHGNKF_00008	Q46995	Antitoxin CcdA (Protein LetA)	ccdA letA
MOBHGNKF_00008	Q46995	Antitoxin CcdA (Protein LetA)	ccdA letA
MOBHGNKF_00009	R8NBN0	Probable cyclic nucleotide synthase IK1_05630 (EC 2.7.7.-)	cdnD IK1_05630
MOBHGNKF_00009	P0DTF7	Cyclic AMP-AMP-AMP synthase (EC 2.7.7.-) (CD-NTase023) (c-di-AMP synthase) (EC 2.7.7.85)	cdnD A4W92_29535
MOBHGNKF_00009	C0VHD2	Cyclic AMP-AMP-AMP synthase (EC 2.7.7.-) (CD-NTase037)	cdnD01 HMPREF0023_0551
MOBHGNKF_00009	O66935	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA aq_721
MOBHGNKF_00009	D7Y2H2	Cyclic AMP-AMP-AMP synthase (EC 2.7.7.-) (CD-NTase018) (c-di-AMP synthase) (EC 2.7.7.85)	cdnC HMPREF9540_01758
MOBHGNKF_00009	P0DSP4	Cyclic AMP-AMP-GMP synthase (EC 2.7.7.-) (cGAS/DncV-like nucleotidyltransferase) (CD-NTase038)	cdnD02 P853_02262
MOBHGNKF_00010	R8NBR0	Probable CBASS effector molecule IK1_05631	IK1_05631
MOBHGNKF_00011	P10030	Transcriptional repressor PifC (Protein C)	pifC C repC ECOK12F041
MOBHGNKF_00013	Q47527	Retron Ec83 probable ATPase	Ga0124318_11282
MOBHGNKF_00013	P0DV98	Retron Vc95 probable ATPase (ORF540)	Ga0059260_01848 KV36_09040.1
MOBHGNKF_00013	Q8DG84	Putative ABC transporter ATP-binding protein tll2439 (EC 7.-.-.-)	tll2439
MOBHGNKF_00013	Q15ZZ5	DNA replication and repair protein RecF	recF Patl_0003
MOBHGNKF_00013	Q6F813	Macrolide export ATP-binding/permease protein MacB (EC 7.6.2.-)	macB ACIAD3110
MOBHGNKF_00013	A0LM36	Macrolide export ATP-binding/permease protein MacB (EC 7.6.2.-)	macB Sfum_2810
MOBHGNKF_00013	P55469	Uncharacterized ABC transporter ATP-binding protein y4gM	NGR_a03510 y4gM
MOBHGNKF_00013	Q59037	Chromosome partition protein Smc	smc MJ1643
MOBHGNKF_00013	Q6KHL1	Energy-coupling factor transporter ATP-binding protein EcfA1 (ECF transporter A component EcfA1) (EC 7.-.-.-)	ecfA1 cbiO1 MMOB4330
MOBHGNKF_00019	Q97QY9	Uncharacterized protein SP_1053	SP_1053
MOBHGNKF_00019	Q5N0D2	Chromosome partition protein Smc	smc syc2048_d
MOBHGNKF_00020	Q05459	Virulence-associated protein VagC	vagC
MOBHGNKF_00020	Q7CPV2	Antitoxin VapB	vapB STM3034
MOBHGNKF_00020	Q4UNB3	Antitoxin VapB2	vapB2 RF_0094
MOBHGNKF_00020	Q57120	Antitoxin VapB2	vapB2 HI_0948
MOBHGNKF_00020	Q4QLV9	Antitoxin VapB2 (NTHi VapB2)	vapB2 NTHI1121
MOBHGNKF_00021	Q8ZM86	tRNA(fMet)-specific endonuclease VapC (EC 3.1.-.-) (RNase VapC) (Toxin VapC)	vapC STM3033
MOBHGNKF_00021	O06662	tRNA(fMet)-specific endonuclease VapC (EC 3.1.-.-) (RNase VapC) (Toxin VapC)	vapC mvpA stborf2 CP0245
MOBHGNKF_00023	P55365	Uncharacterized protein y4aR	NGR_a00300 y4aR
MOBHGNKF_00024	Q52219	RepFIB replication protein A	repA
MOBHGNKF_00024	Q52219	RepFIB replication protein A	repA
MOBHGNKF_00024	P0A253	RepFIB replication protein A	repA repI
MOBHGNKF_00024	P0A253	RepFIB replication protein A	repA repI
MOBHGNKF_00024	P0A254	RepFIB replication protein A	repA repI
