Locus Tag	Entry	Protein names	Gene Names
HPNEBIAD_00001	Q05459	Virulence-associated protein VagC	vagC
HPNEBIAD_00002	Q8ZM86	tRNA(fMet)-specific endonuclease VapC (EC 3.1.-.-) (RNase VapC) (Toxin VapC)	vapC STM3033
HPNEBIAD_00003	J8H9C1	Endonuclease GajA (EC 3.1.-.-) (Gabija protein GajA) (Nicking endonuclease GajA)	gajA IIE_04982
HPNEBIAD_00005	P59843	Insertion element IS1 protein InsB	insB HD_1970
HPNEBIAD_00007	Q9PBR9	Antitoxin ParD	parD XF_2071
HPNEBIAD_00009	P11907	Uncharacterized 11.1 kDa protein (ORF 1)	
HPNEBIAD_00010	Q9AA09	Toxin RelE1	relE1 CC_0802
HPNEBIAD_00011	P55533	Uncharacterized protein y4kO	NGR_a02810 y4kO
HPNEBIAD_00012	P77732	Uncharacterized HTH-type transcriptional regulator RhmR	rhmR yfaX b2248 JW2242
HPNEBIAD_00013	A7ZUC3	2-keto-3-deoxygluconate permease (KDG permease)	kdgT EcE24377A_4443
HPNEBIAD_00014	P40431	RutC family protein in vnfA 5'region (ORF1)	
HPNEBIAD_00015	P39359	Probable 2-dehydro-3-deoxy-D-pentonate aldolase YjhH (EC 4.1.2.28)	yjhH b4298 JW5775
HPNEBIAD_00016	P0DUG0	Alkaline phosphatase-like protein BrxZ (BREX protein PglZ)	pglZ brxZ EcHS_A0340
HPNEBIAD_00017	P27250	Aldehyde reductase Ahr (EC 1.1.1.2) (Zinc-dependent alcohol dehydrogenase Ahr)	ahr yjgB b4269 JW5761
HPNEBIAD_00018	O32155	Probable ABC transporter permease protein YurN	yurN BSU32590
HPNEBIAD_00019	Q9KEE9	Arabinooligosaccharides transport system permease protein AraQ	araQ BH0903
HPNEBIAD_00020	Q6XBH1	Glycerophosphodiester phosphodiesterase GpdQ (GDPD) (Glycerophosphoryl diester phosphodiesterase) (EC 3.1.4.46) (Glycerophosphodiesterase) (Glycerophosphorylethanolamine phosphodiesterase) (GPE phosphodiesterase)	gpdQ ph
HPNEBIAD_00021	A1JIE0	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 7.6.2.10)	ugpC YE0244
HPNEBIAD_00022	Q66FU7	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	ugpB YPTB0238
HPNEBIAD_00023	Q46731	Transposase for transposon Tn5 (EC 3.1.-.-) (Tnp)	tnpA tnp
HPNEBIAD_00024	Q00037	Transposase for transposon gamma-delta (Transposon Tn1000 transposase)	tnpA ECOK12F010
HPNEBIAD_00025	P16942	Transposase for insertion sequence element IS629	
HPNEBIAD_00026	P16942	Transposase for insertion sequence element IS629	
HPNEBIAD_00027	P0A045	Transposase for insertion sequence-like element IS431mec	tnp MW0027
HPNEBIAD_00028	O33921	Glucose-1-phosphatase (G1Pase) (EC 3.1.3.10)	agp STM1117
HPNEBIAD_00029	Q7VM65	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS HD_1133
HPNEBIAD_00030	Q73B22	Thiol-disulfide oxidoreductase ResA	resA BCE_1598
HPNEBIAD_00031	Q58903	Uncharacterized ABC transporter ATP-binding protein MJ1508	MJ1508
HPNEBIAD_00032	Q3ATR5	Macrolide export ATP-binding/permease protein MacB (EC 7.6.2.-)	macB Cag_0337
HPNEBIAD_00033	Q58902	Uncharacterized ABC transporter permease MJ1507	MJ1507
HPNEBIAD_00035	Q8YBL4	UPF0423 protein BMEII0885	BMEII0885
HPNEBIAD_00036	P39595	Iron permease EfeU (Fe(3+) ion permease EfeU) (Ferric iron permease EfeU) (Ferric iron uptake protein)	efeU ywbL BSU38280 ipa-27d
HPNEBIAD_00037	P0C6E0	Na(+)-translocating NADH-quinone reductase subunit C (Na(+)-NQR subunit C) (Na(+)-translocating NQR subunit C) (EC 7.2.1.1) (NQR complex subunit C) (NQR-1 subunit C)	nqrC VC_2293
HPNEBIAD_00038	P0A045	Transposase for insertion sequence-like element IS431mec	tnp MW0027
HPNEBIAD_00039	P42242	Uncharacterized protein YcbJ	ycbJ BSU02520
HPNEBIAD_00040	O32859	Multidrug efflux pump Tap (Tetracycline-aminoglycoside resistance protein)	tap
