locus_tag	ftype	length_bp	gene	EC_number	COG	product
KIHCAMGN_00001	CDS	240				hypothetical protein
KIHCAMGN_00002	CDS	372				hypothetical protein
KIHCAMGN_00003	CDS	1524				hypothetical protein
KIHCAMGN_00004	CDS	447				IS3 family transposase IS629
KIHCAMGN_00005	CDS	570	espC	3.4.21.-		Serine protease EspC
KIHCAMGN_00006	CDS	276				hypothetical protein
KIHCAMGN_00007	CDS	297				hypothetical protein
KIHCAMGN_00008	CDS	279			COG3039	IS5 family transposase ISKpn26
KIHCAMGN_00009	CDS	321				hypothetical protein
KIHCAMGN_00010	CDS	705				IS6 family transposase IS26
KIHCAMGN_00011	CDS	2154	traD			Coupling protein TraD
KIHCAMGN_00012	CDS	399	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
KIHCAMGN_00013	CDS	228	vapB		COG4456	Antitoxin VapB
KIHCAMGN_00014	CDS	5271	traI			Multifunctional conjugation protein TraI
KIHCAMGN_00015	CDS	747				hypothetical protein
KIHCAMGN_00016	CDS	561	finO			Fertility inhibition protein
KIHCAMGN_00017	CDS	213				hypothetical protein
KIHCAMGN_00018	CDS	462	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
KIHCAMGN_00019	CDS	342				hypothetical protein
KIHCAMGN_00020	CDS	255				hypothetical protein
KIHCAMGN_00021	CDS	261				hypothetical protein
KIHCAMGN_00022	CDS	858				hypothetical protein
KIHCAMGN_00023	CDS	267				IS91 family transposase ISSbo1
KIHCAMGN_00024	CDS	258				hypothetical protein
KIHCAMGN_00025	CDS	771	yedY1		COG2041	Putative protein-methionine-sulfoxide reductase subunit YedZ1
KIHCAMGN_00026	CDS	600	yedZ1		COG4117	Putative protein-methionine-sulfoxide reductase subunit YedZ1
KIHCAMGN_00027	CDS	723	walR		COG0745	Transcriptional regulatory protein WalR
KIHCAMGN_00028	CDS	1473	sasA	2.7.-.-		Adaptive-response sensory-kinase SasA
KIHCAMGN_00029	CDS	705				IS6 family transposase IS26
KIHCAMGN_00030	CDS	762	nqrC	7.2.1.1	COG2869	Na(+)-translocating NADH-quinone reductase subunit C
KIHCAMGN_00031	CDS	1887				hypothetical protein
KIHCAMGN_00032	CDS	528	tpd		COG3470	34 kDa membrane antigen
KIHCAMGN_00033	CDS	1380				hypothetical protein
KIHCAMGN_00034	CDS	1284				hypothetical protein
KIHCAMGN_00035	CDS	1131				hypothetical protein
KIHCAMGN_00036	CDS	696	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
KIHCAMGN_00037	CDS	486	resA		COG0526	Thiol-disulfide oxidoreductase ResA
KIHCAMGN_00038	CDS	486				hypothetical protein
KIHCAMGN_00039	CDS	378	agp	3.1.3.10		Glucose-1-phosphatase
KIHCAMGN_00040	CDS	705				IS6 family transposase IS26
KIHCAMGN_00041	CDS	366				hypothetical protein
KIHCAMGN_00042	CDS	114				hypothetical protein
KIHCAMGN_00043	CDS	1170				hypothetical protein
KIHCAMGN_00044	CDS	741	xerC_1			Tyrosine recombinase XerC
KIHCAMGN_00045	CDS	978	repB			RepFIB replication protein A
KIHCAMGN_00046	CDS	297				hypothetical protein
KIHCAMGN_00047	CDS	357				hypothetical protein
KIHCAMGN_00048	CDS	390	umuC		COG0389	Protein UmuC
KIHCAMGN_00049	CDS	378			COG1662	IS1 family transposase IS1A
KIHCAMGN_00050	CDS	915			COG0803	putative periplasmic iron-binding protein
KIHCAMGN_00051	CDS	828	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
KIHCAMGN_00052	CDS	858	mntB_2			Manganese transport system membrane protein MntB
KIHCAMGN_00053	CDS	858	mntB_3			Manganese transport system membrane protein MntB
KIHCAMGN_00054	CDS	252				hypothetical protein
KIHCAMGN_00055	CDS	216				hypothetical protein
