Locus Tag	Entry	Protein names	Gene Names
HPNEBIAD_00001	Q05459	Virulence-associated protein VagC	vagC
HPNEBIAD_00001	Q05459	Virulence-associated protein VagC	vagC
HPNEBIAD_00001	Q7CPV2	Antitoxin VapB	vapB STM3034
HPNEBIAD_00001	Q7CPV2	Antitoxin VapB	vapB STM3034
HPNEBIAD_00001	Q57120	Antitoxin VapB2	vapB2 HI_0948
HPNEBIAD_00001	Q57120	Antitoxin VapB2	vapB2 HI_0948
HPNEBIAD_00001	Q4QLV9	Antitoxin VapB2 (NTHi VapB2)	vapB2 NTHI1121
HPNEBIAD_00001	Q4QLV9	Antitoxin VapB2 (NTHi VapB2)	vapB2 NTHI1121
HPNEBIAD_00001	Q4UNB3	Antitoxin VapB2	vapB2 RF_0094
HPNEBIAD_00001	Q4UNB3	Antitoxin VapB2	vapB2 RF_0094
HPNEBIAD_00001	Q57534	Antitoxin VapB1	vapB1 HI_0321
HPNEBIAD_00001	Q57534	Antitoxin VapB1	vapB1 HI_0321
HPNEBIAD_00001	Q4QNL8	Antitoxin VapB1 (NTHi VapB1)	vapB1 NTHI0439
HPNEBIAD_00001	Q4QNL8	Antitoxin VapB1 (NTHi VapB1)	vapB1 NTHI0439
HPNEBIAD_00001	E4QWH3	Antitoxin VapB1	vapB1 R2866_0252
HPNEBIAD_00001	E4QWH3	Antitoxin VapB1	vapB1 R2866_0252
HPNEBIAD_00001	O06663	Antitoxin VapB	vapB CP0246
HPNEBIAD_00001	P18355	Uncharacterized protein in traD-traI intergenic region	
HPNEBIAD_00002	Q8ZM86	tRNA(fMet)-specific endonuclease VapC (EC 3.1.-.-) (RNase VapC) (Toxin VapC)	vapC STM3033
HPNEBIAD_00002	Q8ZM86	tRNA(fMet)-specific endonuclease VapC (EC 3.1.-.-) (RNase VapC) (Toxin VapC)	vapC STM3033
HPNEBIAD_00002	O06662	tRNA(fMet)-specific endonuclease VapC (EC 3.1.-.-) (RNase VapC) (Toxin VapC)	vapC mvpA stborf2 CP0245
HPNEBIAD_00002	O06662	tRNA(fMet)-specific endonuclease VapC (EC 3.1.-.-) (RNase VapC) (Toxin VapC)	vapC mvpA stborf2 CP0245
HPNEBIAD_00002	Q4UNB2	Ribonuclease VapC2 (RNase VapC2) (EC 3.1.-.-) (Toxin VapC2)	vapC2 RF_0095
HPNEBIAD_00002	Q4UNB2	Ribonuclease VapC2 (RNase VapC2) (EC 3.1.-.-) (Toxin VapC2)	vapC2 RF_0095
HPNEBIAD_00002	Q4QNL7	Ribonuclease VapC1 (RNase VapC) (EC 3.1.-.-) (NTHi VapC1) (Toxin VapC)	vapC1 NTHI0440
HPNEBIAD_00002	Q4QNL7	Ribonuclease VapC1 (RNase VapC) (EC 3.1.-.-) (NTHi VapC1) (Toxin VapC)	vapC1 NTHI0440
HPNEBIAD_00002	E4QWH2	Ribonuclease VapC1 (RNase VapC1) (EC 3.1.-.-) (Toxin VapC1)	vapC1 R2866_0251
HPNEBIAD_00002	E4QWH2	Ribonuclease VapC1 (RNase VapC1) (EC 3.1.-.-) (Toxin VapC1)	vapC1 R2866_0251
HPNEBIAD_00002	Q57122	Ribonuclease VapC1 (RNase VapC1) (EC 3.1.-.-) (Toxin VapC1)	vapC1 HI_0322
HPNEBIAD_00002	Q57122	Ribonuclease VapC1 (RNase VapC1) (EC 3.1.-.-) (Toxin VapC1)	vapC1 HI_0322
HPNEBIAD_00002	P71363	Ribonuclease VapC2 (RNase VapC2) (EC 3.1.-.-) (Toxin VapC2)	vapC2 HI_0947
HPNEBIAD_00002	P71363	Ribonuclease VapC2 (RNase VapC2) (EC 3.1.-.-) (Toxin VapC2)	vapC2 HI_0947
HPNEBIAD_00002	Q4QLW0	Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Toxin VapC)	vapC NTHI1120
HPNEBIAD_00002	Q4QLW0	Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Toxin VapC)	vapC NTHI1120
