locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJKFKEDI_00001	CDS	1176	intS_1		COG0582	Prophage integrase IntS
EJKFKEDI_00002	tRNA	75				tRNA-Arg(cct)
EJKFKEDI_00003	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
EJKFKEDI_00004	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
EJKFKEDI_00005	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
EJKFKEDI_00006	CDS	285				hypothetical protein
EJKFKEDI_00007	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
EJKFKEDI_00008	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
EJKFKEDI_00009	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
EJKFKEDI_00010	CDS	567	yfcV			putative fimbrial-like protein YfcV
EJKFKEDI_00011	CDS	2649	papC_1		COG3188	Outer membrane usher protein PapC
EJKFKEDI_00012	CDS	753	yfcS_1		COG3121	putative fimbrial chaperone YfcS
EJKFKEDI_00013	CDS	492	yfcR			putative fimbrial-like protein YfcR
EJKFKEDI_00014	CDS	480	yfcQ			putative fimbrial-like protein YfcQ
EJKFKEDI_00015	CDS	528	yfcP			putative fimbrial-like protein YfcP
EJKFKEDI_00016	CDS	825	yfcO			putative protein YfcO
EJKFKEDI_00017	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
EJKFKEDI_00018	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
EJKFKEDI_00019	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
EJKFKEDI_00020	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
EJKFKEDI_00021	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
EJKFKEDI_00022	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
EJKFKEDI_00023	CDS	279				hypothetical protein
EJKFKEDI_00024	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
EJKFKEDI_00025	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
EJKFKEDI_00026	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
EJKFKEDI_00027	CDS	996	flk			Flagellar regulator flk
