Locus Tag	Entry	Protein names	Gene Names
POPGGIPM_00002	Q9S4X0	Uncharacterized protein YubF	yubF yffA ECOK12F054
POPGGIPM_00002	O82898	Uncharacterized protein YubF	yubF L7075 ECO57PM39
POPGGIPM_00002	A0A1U9YHZ9	Cytochrome P450 monooxygenase verC (EC 1.-.-.-) (Verticillin biosynthesis cluster protein C)	verC
POPGGIPM_00002	P0C243	Uncharacterized protein YubJ	yubJ yfhA ECOK12F058
POPGGIPM_00002	O82902	Uncharacterized protein YubJ	yubJ L7078 ECO57PM43
POPGGIPM_00003	Q9S4X1	Uncharacterized protein YubE	yubE yfeB ECOK12F053
POPGGIPM_00004	Q9S4X2	Putative methylase YubD (EC 2.1.1.-) (Type II methyltransferase M.EcoCR63FORFAP) (M.EcoCR63FORFAP)	yubD yfeA ECOK12F052
POPGGIPM_00004	B8GZ33	DNA methyltransferase CcrM (M.CcrMI) (EC 2.1.1.72) (Adenine-specific methyltransferase CcrMI) (Type II methyltransferase M.CcrNAI) (M.CcrNAI)	ccrMIM ccrM CCNA_00382
POPGGIPM_00004	P0CAW2	DNA methyltransferase CcrM (M.CcrMI) (EC 2.1.1.72) (DNA adenine methyltransferase CcrM) (Type II methyltransferase M.CcrMI)	ccrMIM ccrM CC_0378
POPGGIPM_00004	O30569	DNA methyltransferase CcrM (M.CcrM) (EC 2.1.1.72) (Adenine-specific methyltransferase SmeI) (Modification methylase SmeI) (Orphan methyltransferase M.SmeI) (M.SmeI)	smeIM ccrM R00926 SMc00021
POPGGIPM_00004	P28638	DNA adenine methyltransferase YhdJ (EC 2.1.1.72) (Type II methyltransferase M.EcoKII) (M.EcoKII)	yhdJ b3262 JW5543
POPGGIPM_00004	Q8G242	DNA methyltransferase CcrM (M.CcrM) (EC 2.1.1.72) (Adenine-specific methyltransferase BabI) (Probable type II methyltransferase M.Bsu1330ORF492P/M.Bsu1330ORF491P) (M.Bsu1330ORF492P/M.Bsu1330ORF491P)	ccrM babI BR0491 BS1330_I0492
POPGGIPM_00004	B0CKH7	DNA methyltransferase CcrM (M.CcrM) (EC 2.1.1.72) (Adenine-specific methyltransferase BabI) (Type II methyltransferase M.Bsu23445ORF519P) (M.Bsu23445ORF519P)	ccrM BSUIS_A0519
POPGGIPM_00004	A9M916	DNA methyltransferase CcrM (M.CcrM) (EC 2.1.1.72) (Adenine-specific methyltransferase BabI) (Type II methyltransferase M.Bca23365ORF500P) (M.Bca23365ORF500P)	ccrM BCAN_A0500
POPGGIPM_00004	P0C116	DNA methyltransferase CcrM (M.CcrM) (EC 2.1.1.72) (Adenine-specific methyltransferase BabI) (Probable orphan methyltransferase M.BabAORF513P) (M.BabAORF513P)	ccrM babI babIM BruAb1_0513
POPGGIPM_00004	Q2YMK2	DNA methyltransferase CcrM (M.CcrM) (EC 2.1.1.72) (Adenine-specific methyltransferase BabI) (Orphan methyltransferase M.BabI) (M.BabI)	ccrM babI babIM BAB1_0516
POPGGIPM_00005	Q9S4X5	Uncharacterized protein YubA	yubA yfcB ECOK12F049
POPGGIPM_00005	Q9S4X4	Uncharacterized protein YubB	yubB yfdA ECOK12F050
POPGGIPM_00005	Q7NGL0	Peptide chain release factor 3 (RF-3)	prfC glr3159
POPGGIPM_00006	Q5QJJ0	Uncharacterized protein YuaZ	yuaZ
POPGGIPM_00006	Q9ZGS5	Uncharacterized protein YuaZ	yuaZ L7070
POPGGIPM_00006	P08868	Uncharacterized protein YuaZ	yuaZ yfcA ECOK12F048
POPGGIPM_00007	P62558	Protein SopB (Plasmid partition protein B)	sopB B ECOK12F047
POPGGIPM_00007	P62559	Protein SopB (Plasmid partition protein B)	sopB B L7069 ECO57PM34
POPGGIPM_00007	P0A248	Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)	virB invE
POPGGIPM_00007	P0A247	Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)	virB invE CP0123
POPGGIPM_00007	P07621	Plasmid Partition par B protein	parB
POPGGIPM_00007	P05683	Putative replication protein B	repB
POPGGIPM_00008	P62556	Protein SopA (Plasmid partition protein A)	sopA A ECOK12F046
POPGGIPM_00008	P62557	Protein SopA (Plasmid partition protein A)	sopA A L7068 ECO57PM33
POPGGIPM_00008	P55393	Putative replication protein A	NGR_a00010 y4cK
POPGGIPM_00008	P05682	Putative replication protein A	repA
POPGGIPM_00008	P37522	Sporulation initiation inhibitor protein Soj (EC 3.6.-.-)	soj orf253 BSU40970
POPGGIPM_00008	B8GW31	Chromosome partitioning protein ParA	parA CCNA_03869
POPGGIPM_00008	P0CAV7	Chromosome partitioning protein ParA	parA CC_3753
POPGGIPM_00008	Q9K5N0	Sporulation initiation inhibitor protein Soj (EC 3.6.-.-)	soj BH4058
POPGGIPM_00008	Q1DEM0	Cell division protein PomZ (Adventurous gliding motility protein E) (Positioning at midcell of FtsZ)	pomZ agmE MXAN_0635
POPGGIPM_00008	Q60283	Uncharacterized protein MJECL24	MJECL24
POPGGIPM_00009	P03856	Replication initiation protein (Protein E) (Protein rep) (Protein F4)	repE E rep ECOK12F045
POPGGIPM_00009	P03856	Replication initiation protein (Protein E) (Protein rep) (Protein F4)	repE E rep ECOK12F045
POPGGIPM_00009	P62539	Replication initiation protein (Protein E) (Protein rep)	repE rep HCM1.137
POPGGIPM_00009	P62539	Replication initiation protein (Protein E) (Protein rep)	repE rep HCM1.137
POPGGIPM_00009	P62538	Replication initiation protein (Protein E) (Protein rep)	repE E rep
POPGGIPM_00009	P62538	Replication initiation protein (Protein E) (Protein rep)	repE E rep
POPGGIPM_00009	P18351	Uncharacterized 27.6 kDa protein (ORF 239)	
POPGGIPM_00009	P18351	Uncharacterized 27.6 kDa protein (ORF 239)	
POPGGIPM_00009	P17492	Replication protein	
POPGGIPM_00009	P17492	Replication protein	
POPGGIPM_00009	P22308	Replication initiation protein	repA
POPGGIPM_00009	P22308	Replication initiation protein	repA
POPGGIPM_00010	P06615	Resolvase (Protein D)	resD D ECOK12F044
POPGGIPM_00010	P06615	Resolvase (Protein D)	resD D ECOK12F044
