Plasmid,Plasmid Length,Resistance,Resistance Gene,Resistance Count,TF Protein,TF Gene,TF Gene Simplified,TF Count,DeepTFactor Locus_ID,DeepTF Count
AP019704.1,92338,['None'],['None'],0,['None'],['None'],['None'],0,"['IFKHJHOP_00013', 'IFKHJHOP_00016', 'IFKHJHOP_00031', 'IFKHJHOP_00040', 'IFKHJHOP_00042', 'IFKHJHOP_00065', 'IFKHJHOP_00084']",7
AP019705.1,71162,"['STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'BETA-LACTAM', 'TETRACYCLINE']","['aph(6)-Id', ""aph(3'')-Ib"", 'sul2', 'blaTEM-1', 'tet(B)']",5,"['Tetracycline repressor protein class B from transposon Tn10', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['tetR', 'finO', 'repA2 copB L7006 ECO57PM67']","['tetR', 'finO', 'repA2']",3,"['BNDOPLOK_00005', 'BNDOPLOK_00029', 'BNDOPLOK_00037']",3
AP019707.1,91037,['None'],['None'],0,['None'],['None'],['None'],0,"['EELKNJDF_00013', 'EELKNJDF_00016', 'EELKNJDF_00031', 'EELKNJDF_00040', 'EELKNJDF_00041', 'EELKNJDF_00065', 'EELKNJDF_00083']",7
AP019709.1,86875,['None'],['None'],0,['None'],['None'],['None'],0,"['OABHKGFC_00013', 'OABHKGFC_00016', 'OABHKGFC_00031', 'OABHKGFC_00040', 'OABHKGFC_00059', 'OABHKGFC_00078', 'OABHKGFC_00079']",7
AP019710.1,48573,['None'],['None'],0,"['Transcriptional repressor protein KorC', 'Cryptic phage CTXphi transcriptional repressor RstR', 'HTH-type transcriptional regulator PrtR (Pyocin repressor protein)']","['korC', 'rstR1 VC_1455; rstR2 VC_1464', 'prtR PA0611']","['korC', 'rstR1', 'prtR']",3,"['GLFFFAIH_00002', 'GLFFFAIH_00005', 'GLFFFAIH_00007', 'GLFFFAIH_00022']",4
AP024113.1,126312,['BETA-LACTAM'],['blaTEM-1'],1,"['F1845 adhesin operon regulatory protein', 'Virulence regulon transcriptional activator VirF', 'Uncharacterized transcriptional regulatory protein YclJ', 'Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['daaA', 'virF', 'yclJ BSU03750', 'repA2 copB ECOK12F006', 'finO']","['daaA', 'virF', 'yclJ', 'repA2', 'finO']",5,"['JALHFHHA_00006', 'JALHFHHA_00007', 'JALHFHHA_00009', 'JALHFHHA_00015', 'JALHFHHA_00016', 'JALHFHHA_00018', 'JALHFHHA_00028', 'JALHFHHA_00031', 'JALHFHHA_00035', 'JALHFHHA_00046', 'JALHFHHA_00052', 'JALHFHHA_00053', 'JALHFHHA_00089', 'JALHFHHA_00107', 'JALHFHHA_00109', 'JALHFHHA_00122', 'JALHFHHA_00139']",17
AP024115.1,109994,"['KANAMYCIN', 'BLEOMYCIN', 'SULFONAMIDE', 'STREPTOMYCIN', 'STREPTOMYCIN']","[""aph(3')-IIa"", 'ble_Tn5', 'sul1', ""aph(3'')-Ib"", 'aph(6)-Id']",5,['Response regulator UvrY'],['uvrY c2327'],['uvrY'],1,"['LDLIMPAL_00029', 'LDLIMPAL_00030', 'LDLIMPAL_00036', 'LDLIMPAL_00047', 'LDLIMPAL_00060', 'LDLIMPAL_00063', 'LDLIMPAL_00120']",7
AP024116.1,95340,"['TETRACYCLINE', 'TETRACYCLINE']","['tet(A)', 'tet(M)']",2,"['Nitrogen assimilation regulatory protein nac (Nitrogen assimilation control protein)', 'Tetracycline repressor protein class A from transposon 1721', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['nac', 'tetR', 'finO', 'repA2 copB']","['nac', 'tetR', 'finO', 'repA2']",4,"['MAPGCEBN_00001', 'MAPGCEBN_00002', 'MAPGCEBN_00009', 'MAPGCEBN_00019', 'MAPGCEBN_00040', 'MAPGCEBN_00057']",6
AP024117.1,94180,['None'],['None'],0,['None'],['None'],['None'],0,"['GMDMMIOK_00001', 'GMDMMIOK_00006', 'GMDMMIOK_00009', 'GMDMMIOK_00014', 'GMDMMIOK_00027', 'GMDMMIOK_00030', 'GMDMMIOK_00047']",7
AP024118.1,6716,['None'],['None'],0,['None'],['None'],['None'],0,[],0
