Locus Tag	Entry	Protein names	Gene Names
MOBHGNKF_00001	P62558	Protein SopB (Plasmid partition protein B)	sopB B ECOK12F047
MOBHGNKF_00002	P62556	Protein SopA (Plasmid partition protein A)	sopA A ECOK12F046
MOBHGNKF_00003	P03856	Replication initiation protein (Protein E) (Protein rep) (Protein F4)	repE E rep ECOK12F045
MOBHGNKF_00006	P06615	Resolvase (Protein D)	resD D ECOK12F044
MOBHGNKF_00007	P62554	Toxin CcdB (Cytotoxic protein CcdB) (LynB) (Protein G) (Protein LetD)	ccdB G letB letD ECOK12F043
MOBHGNKF_00008	P62552	Antitoxin CcdA (LynA) (Protein H) (Protein LetA)	ccdA H letA ECOK12F042
MOBHGNKF_00009	R8NBN0	Probable cyclic nucleotide synthase IK1_05630 (EC 2.7.7.-)	cdnD IK1_05630
MOBHGNKF_00010	R8NBR0	Probable CBASS effector molecule IK1_05631	IK1_05631
MOBHGNKF_00011	P10030	Transcriptional repressor PifC (Protein C)	pifC C repC ECOK12F041
MOBHGNKF_00013	Q47527	Retron Ec83 probable ATPase	Ga0124318_11282
MOBHGNKF_00019	Q97QY9	Uncharacterized protein SP_1053	SP_1053
MOBHGNKF_00020	Q05459	Virulence-associated protein VagC	vagC
MOBHGNKF_00021	Q8ZM86	tRNA(fMet)-specific endonuclease VapC (EC 3.1.-.-) (RNase VapC) (Toxin VapC)	vapC STM3033
MOBHGNKF_00023	P55365	Uncharacterized protein y4aR	NGR_a00300 y4aR
MOBHGNKF_00024	Q52219	RepFIB replication protein A	repA
MOBHGNKF_00025	P56979	Probable site-specific recombinase	intM int ECOK12F032
MOBHGNKF_00028	P59444	Transposase InsC for insertion element IS2	insC1 SF0245; insC2 SF0879; insC3 SF0933; insC4 SF0960; insC5 SF1054; insC6 SF1165; insC7 SF1343; insC8 SF1463; insC9 SF1587; insC10 SF2011; insC11 SF2615; insC12 SF2694; insC13 SF2873; insC14 SF2984; insC15 SF3431; insC16 SF3512; insC17 SF3805; insC18 SF3873; insC19 SF3988; insC20 SF4097; insC21 SF4185
MOBHGNKF_00029	Q56989	Hemin receptor	hmuR YPO0283 y0543 YP_0438
MOBHGNKF_00030	P44196	Uncharacterized protein HI_1427	HI_1427
MOBHGNKF_00031	P50360	Uncharacterized protein y4hP	NGR_a03340 y4hP
MOBHGNKF_00032	P15026	Insertion sequence IS21 putative ATP-binding protein	istB
MOBHGNKF_00033	Q45618	Putative transposase for insertion sequence element IS5376	
MOBHGNKF_00034	Q51649	Putative transposase for insertion sequence IS408	Bmul_4730 BMULJ_03785; Bmul_5628 BMULJ_05881; Bmul_6206 BMULJ_06213
MOBHGNKF_00035	P19766	Insertion element IS1 protein InsB	insB
MOBHGNKF_00036	P0CF10	Insertion element IS1 4 protein InsA (IS1d)	insA4 b4516 JW0971
MOBHGNKF_00038	P43787	Thioredoxin-like protein HI_1115	HI_1115
MOBHGNKF_00039	P0C6E0	Na(+)-translocating NADH-quinone reductase subunit C (Na(+)-NQR subunit C) (Na(+)-translocating NQR subunit C) (EC 7.2.1.1) (NQR complex subunit C) (NQR-1 subunit C)	nqrC VC_2293
MOBHGNKF_00040	P39595	Iron permease EfeU (Fe(3+) ion permease EfeU) (Ferric iron permease EfeU) (Ferric iron uptake protein)	efeU ywbL BSU38280 ipa-27d
MOBHGNKF_00041	Q8YBL4	UPF0423 protein BMEII0885	BMEII0885
MOBHGNKF_00043	Q58902	Uncharacterized ABC transporter permease MJ1507	MJ1507
MOBHGNKF_00044	Q3ATR5	Macrolide export ATP-binding/permease protein MacB (EC 7.6.2.-)	macB Cag_0337
MOBHGNKF_00045	Q58903	Uncharacterized ABC transporter ATP-binding protein MJ1508	MJ1508
MOBHGNKF_00046	Q73B22	Thiol-disulfide oxidoreductase ResA	resA BCE_1598
MOBHGNKF_00047	Q7VM65	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS HD_1133
MOBHGNKF_00048	P19926	Glucose-1-phosphatase (G1Pase) (EC 3.1.3.10)	agp b1002 JW0987
MOBHGNKF_00049	P76071	Transposase InsH for insertion sequence element IS5Y	insH5 b1370 JW1363
MOBHGNKF_00050	P76071	Transposase InsH for insertion sequence element IS5Y	insH5 b1370 JW1363
MOBHGNKF_00051	Q9EZE7	Serine protease EspC (EC 3.4.21.-) [Cleaved into: Secreted autotransporter protein EspC (EPEC-secreted protein C); Autotransporter protein EspC translocator]	espC E2348C_2915
MOBHGNKF_00052	P16942	Transposase for insertion sequence element IS629	
MOBHGNKF_00053	P0A1V3	Insertion element IS629 uncharacterized 12 kDa protein	
MOBHGNKF_00054	P24607	Transposase for insertion sequence element IS801	
MOBHGNKF_00055	Q8Z740	Uncharacterized protein YncE	yncE STY1479 t1496
MOBHGNKF_00056	P45114	Probable TonB-dependent receptor HI_1217	HI_1217
MOBHGNKF_00057	Q05613	Protein TonB	tonB
MOBHGNKF_00060	P08701	Colicin-Ia immunity protein	
MOBHGNKF_00064	P0A1V3	Insertion element IS629 uncharacterized 12 kDa protein	
MOBHGNKF_00065	P16942	Transposase for insertion sequence element IS629	
MOBHGNKF_00066	P59444	Transposase InsC for insertion element IS2	insC1 SF0245; insC2 SF0879; insC3 SF0933; insC4 SF0960; insC5 SF1054; insC6 SF1165; insC7 SF1343; insC8 SF1463; insC9 SF1587; insC10 SF2011; insC11 SF2615; insC12 SF2694; insC13 SF2873; insC14 SF2984; insC15 SF3431; insC16 SF3512; insC17 SF3805; insC18 SF3873; insC19 SF3988; insC20 SF4097; insC21 SF4185
MOBHGNKF_00067	P50359	Uncharacterized protein y4hO	NGR_a03350 y4hO
MOBHGNKF_00068	P50360	Uncharacterized protein y4hP	NGR_a03340 y4hP
MOBHGNKF_00069	Q45618	Putative transposase for insertion sequence element IS5376	
MOBHGNKF_00070	P15026	Insertion sequence IS21 putative ATP-binding protein	istB
MOBHGNKF_00071	Q51649	Putative transposase for insertion sequence IS408	Bmul_4730 BMULJ_03785; Bmul_5628 BMULJ_05881; Bmul_6206 BMULJ_06213
MOBHGNKF_00072	P55923	Insertion sequence IS408 putative ATP-binding protein (ORF2)	Bmul_4731 BMULJ_03784; Bmul_5629 BMULJ_05880; Bmul_5782 BMULJ_05739; Bmul_6207 BMULJ_06212
MOBHGNKF_00073	P03066	Replication initiation protein	repA repA1
MOBHGNKF_00074	P03847	Replication regulatory protein repA2 (Protein CopB)	repA2 copB
MOBHGNKF_00075	P13970	Protein SrnB	srnB ECOK12F004/ECOK12F005
MOBHGNKF_00076	P29367	Fertility inhibition protein (Conjugal transfer repressor)	finO
MOBHGNKF_00077	P22710	Protein TraX	traX
MOBHGNKF_00078	P22706	Multifunctional conjugation protein TraI [Includes: DNA relaxase TraI (EC 5.6.2.1) (DNA nickase TraI) (Transesterase TraI); DNA helicase I (EC 3.6.4.12)]	traI
MOBHGNKF_00079	P22708	Coupling protein TraD (DNA transport protein TraD)	traD
MOBHGNKF_00081	P13979	TraT complement resistance protein	traT ECOK12F101
MOBHGNKF_00083	P33790	Protein TraG [Cleaved into: Protein TraG*]	traG ECOK12F099
MOBHGNKF_00084	P15069	Protein TraH	traH ECOK12F098
MOBHGNKF_00085	P15068	Protein TrbF	trbF ECOK12F097
MOBHGNKF_00086	P18035	Protein TrbB	trbB ECOK12F095
MOBHGNKF_00087	P18033	Protein TraQ	traQ ECOK12F094
MOBHGNKF_00088	P0CF31	Insertion element IS1 protein InsB	insB
MOBHGNKF_00089	P76071	Transposase InsH for insertion sequence element IS5Y	insH5 b1370 JW1363
MOBHGNKF_00090	P14497	Protein TraF	traF ECOK12F091
MOBHGNKF_00091	Q05807	Protein TrbE	trbE ECOK12F090
MOBHGNKF_00092	P24082	Mating pair stabilization protein TraN	traN ECOK12F089
MOBHGNKF_00093	P18473	Periplasmic protein TrbC	trbC ECOK12F088
MOBHGNKF_00095	P18471	Protein TraU	traU ECOK12F087
MOBHGNKF_00096	P18472	Protein TraW	traW ECOK12F086
MOBHGNKF_00097	P18006	Protein TrbI	trbI ECOK12F085
MOBHGNKF_00098	P18004	Protein TraC	traC ECOK12F084
MOBHGNKF_00099	P41065	Protein TraR	traR ECOK12F083
MOBHGNKF_00100	P41069	Protein TraV	traV ECOK12F082
