Locus Tag	Entry	Protein names	Gene Names
KIHCAMGN_00001	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00001	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00001	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00001	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00001	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00001	P11257	Transposase for insertion sequence element IS3411	
KIHCAMGN_00001	P11257	Transposase for insertion sequence element IS3411	
KIHCAMGN_00001	P11257	Transposase for insertion sequence element IS3411	
KIHCAMGN_00001	P11257	Transposase for insertion sequence element IS3411	
KIHCAMGN_00001	P11257	Transposase for insertion sequence element IS3411	
KIHCAMGN_00001	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00001	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00001	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00001	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00001	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00001	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00001	P9WKH8	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	MT1803; MT2881; MT0413; MT3100
KIHCAMGN_00001	P9WKH8	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	MT1803; MT2881; MT0413; MT3100
KIHCAMGN_00001	P9WKH8	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	MT1803; MT2881; MT0413; MT3100
KIHCAMGN_00001	P9WKH8	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	MT1803; MT2881; MT0413; MT3100
KIHCAMGN_00001	P9WKH8	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	MT1803; MT2881; MT0413; MT3100
KIHCAMGN_00001	P9WKH9	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	Rv0796 MTV042.06; Rv1369c MTCY02B12.03c; Rv1756c MTCY28.22c; Rv1764 MTCY28.30; Rv2106 MTCY261.02; Rv2167c MTCY270.01; Rv2279 MTCY339.31c; Rv2355 MTCY98.24; Rv2479c MTV008.35c; Rv2649 MTCY441.18; Rv2814c MTCY16B7.29; Rv3185 MTV014.29; Rv3187 MTV014.31; Rv3326 MTV016.26; Rv3380c MTV004.38c; Rv3475 MTCY13E12.28
KIHCAMGN_00001	P9WKH9	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	Rv0796 MTV042.06; Rv1369c MTCY02B12.03c; Rv1756c MTCY28.22c; Rv1764 MTCY28.30; Rv2106 MTCY261.02; Rv2167c MTCY270.01; Rv2279 MTCY339.31c; Rv2355 MTCY98.24; Rv2479c MTV008.35c; Rv2649 MTCY441.18; Rv2814c MTCY16B7.29; Rv3185 MTV014.29; Rv3187 MTV014.31; Rv3326 MTV016.26; Rv3380c MTV004.38c; Rv3475 MTCY13E12.28
KIHCAMGN_00001	P9WKH9	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	Rv0796 MTV042.06; Rv1369c MTCY02B12.03c; Rv1756c MTCY28.22c; Rv1764 MTCY28.30; Rv2106 MTCY261.02; Rv2167c MTCY270.01; Rv2279 MTCY339.31c; Rv2355 MTCY98.24; Rv2479c MTV008.35c; Rv2649 MTCY441.18; Rv2814c MTCY16B7.29; Rv3185 MTV014.29; Rv3187 MTV014.31; Rv3326 MTV016.26; Rv3380c MTV004.38c; Rv3475 MTCY13E12.28
KIHCAMGN_00001	P9WKH9	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	Rv0796 MTV042.06; Rv1369c MTCY02B12.03c; Rv1756c MTCY28.22c; Rv1764 MTCY28.30; Rv2106 MTCY261.02; Rv2167c MTCY270.01; Rv2279 MTCY339.31c; Rv2355 MTCY98.24; Rv2479c MTV008.35c; Rv2649 MTCY441.18; Rv2814c MTCY16B7.29; Rv3185 MTV014.29; Rv3187 MTV014.31; Rv3326 MTV016.26; Rv3380c MTV004.38c; Rv3475 MTCY13E12.28
KIHCAMGN_00001	P9WKH9	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	Rv0796 MTV042.06; Rv1369c MTCY02B12.03c; Rv1756c MTCY28.22c; Rv1764 MTCY28.30; Rv2106 MTCY261.02; Rv2167c MTCY270.01; Rv2279 MTCY339.31c; Rv2355 MTCY98.24; Rv2479c MTV008.35c; Rv2649 MTCY441.18; Rv2814c MTCY16B7.29; Rv3185 MTV014.29; Rv3187 MTV014.31; Rv3326 MTV016.26; Rv3380c MTV004.38c; Rv3475 MTCY13E12.28
KIHCAMGN_00001	A5TY79	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	MRA_0011; MRA_0806; MRA_1379; MRA_1767; MRA_1769; MRA_1778; MRA_2121; MRA_2182; MRA_2298; MRA_2379; MRA_2504; MRA_2838; MRA_3219; MRA_3368; MRA_3420; MRA_3515
KIHCAMGN_00001	A5TY79	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	MRA_0011; MRA_0806; MRA_1379; MRA_1767; MRA_1769; MRA_1778; MRA_2121; MRA_2182; MRA_2298; MRA_2379; MRA_2504; MRA_2838; MRA_3219; MRA_3368; MRA_3420; MRA_3515
KIHCAMGN_00001	A5TY79	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	MRA_0011; MRA_0806; MRA_1379; MRA_1767; MRA_1769; MRA_1778; MRA_2121; MRA_2182; MRA_2298; MRA_2379; MRA_2504; MRA_2838; MRA_3219; MRA_3368; MRA_3420; MRA_3515
KIHCAMGN_00001	A5TY79	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	MRA_0011; MRA_0806; MRA_1379; MRA_1767; MRA_1769; MRA_1778; MRA_2121; MRA_2182; MRA_2298; MRA_2379; MRA_2504; MRA_2838; MRA_3219; MRA_3368; MRA_3420; MRA_3515
KIHCAMGN_00001	A5TY79	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	MRA_0011; MRA_0806; MRA_1379; MRA_1767; MRA_1769; MRA_1778; MRA_2121; MRA_2182; MRA_2298; MRA_2379; MRA_2504; MRA_2838; MRA_3219; MRA_3368; MRA_3420; MRA_3515
KIHCAMGN_00001	P59800	Putative transposase for insertion sequence element IS986/IS6110	BQ2027_MB2838C
KIHCAMGN_00001	P59800	Putative transposase for insertion sequence element IS986/IS6110	BQ2027_MB2838C
KIHCAMGN_00001	P59800	Putative transposase for insertion sequence element IS986/IS6110	BQ2027_MB2838C
KIHCAMGN_00001	P59800	Putative transposase for insertion sequence element IS986/IS6110	BQ2027_MB2838C
KIHCAMGN_00001	P59800	Putative transposase for insertion sequence element IS986/IS6110	BQ2027_MB2838C
KIHCAMGN_00001	P19769	Putative transposase InsK for insertion sequence element IS150	insK dinS b3558 JW3528
KIHCAMGN_00001	P19769	Putative transposase InsK for insertion sequence element IS150	insK dinS b3558 JW3528
KIHCAMGN_00001	P19769	Putative transposase InsK for insertion sequence element IS150	insK dinS b3558 JW3528
KIHCAMGN_00001	P19769	Putative transposase InsK for insertion sequence element IS150	insK dinS b3558 JW3528
KIHCAMGN_00001	O05086	Uncharacterized transposase-like protein HI_1721	HI_1721
KIHCAMGN_00001	O05086	Uncharacterized transposase-like protein HI_1721	HI_1721
KIHCAMGN_00001	O05086	Uncharacterized transposase-like protein HI_1721	HI_1721
KIHCAMGN_00001	Q9EVI6	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuC
KIHCAMGN_00002	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00002	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00002	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00002	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00002	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00002	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00003	Q47688	Protein YkfC	ykfC b0258 JW5813
KIHCAMGN_00003	Q47688	Protein YkfC	ykfC b0258 JW5813
KIHCAMGN_00003	Q47688	Protein YkfC	ykfC b0258 JW5813
KIHCAMGN_00003	P0A3U1	Group II intron-encoded protein LtrA [Includes: Reverse-transcriptase (EC 2.7.7.49); RNA maturase (EC 3.1.-.-); DNA endonuclease (EC 3.1.-.-) (Homing endonuclease I-LlaI)]	ltrA matR llmg_1371
KIHCAMGN_00003	P0A3U1	Group II intron-encoded protein LtrA [Includes: Reverse-transcriptase (EC 2.7.7.49); RNA maturase (EC 3.1.-.-); DNA endonuclease (EC 3.1.-.-) (Homing endonuclease I-LlaI)]	ltrA matR llmg_1371
KIHCAMGN_00003	P0A3U1	Group II intron-encoded protein LtrA [Includes: Reverse-transcriptase (EC 2.7.7.49); RNA maturase (EC 3.1.-.-); DNA endonuclease (EC 3.1.-.-) (Homing endonuclease I-LlaI)]	ltrA matR llmg_1371
KIHCAMGN_00003	P0A3U0	Group II intron-encoded protein LtrA [Includes: Reverse-transcriptase (EC 2.7.7.49); RNA maturase (EC 3.1.-.-); DNA endonuclease (EC 3.1.-.-)]	ltrA matR
KIHCAMGN_00003	P0A3U0	Group II intron-encoded protein LtrA [Includes: Reverse-transcriptase (EC 2.7.7.49); RNA maturase (EC 3.1.-.-); DNA endonuclease (EC 3.1.-.-)]	ltrA matR
KIHCAMGN_00003	P0A3U0	Group II intron-encoded protein LtrA [Includes: Reverse-transcriptase (EC 2.7.7.49); RNA maturase (EC 3.1.-.-); DNA endonuclease (EC 3.1.-.-)]	ltrA matR
KIHCAMGN_00003	P38478	Uncharacterized mitochondrial protein ymf40 (ORF502)	YMF40
KIHCAMGN_00003	P38478	Uncharacterized mitochondrial protein ymf40 (ORF502)	YMF40
KIHCAMGN_00003	P38478	Uncharacterized mitochondrial protein ymf40 (ORF502)	YMF40
KIHCAMGN_00003	P03876	Putative COX1/OXI3 intron 2 protein	AI2 Q0055
KIHCAMGN_00003	P03876	Putative COX1/OXI3 intron 2 protein	AI2 Q0055
KIHCAMGN_00003	P03876	Putative COX1/OXI3 intron 2 protein	AI2 Q0055
KIHCAMGN_00003	B1N1A3	Putative nicotine oxidoreductase	nicA1 nicA PPS_0381
KIHCAMGN_00003	B1N1A3	Putative nicotine oxidoreductase	nicA1 nicA PPS_0381
KIHCAMGN_00003	B1N1A3	Putative nicotine oxidoreductase	nicA1 nicA PPS_0381
KIHCAMGN_00003	P03875	Putative COX1/OXI3 intron 1 protein	AI1 Q0050
KIHCAMGN_00003	P03875	Putative COX1/OXI3 intron 1 protein	AI1 Q0050
KIHCAMGN_00003	P03875	Putative COX1/OXI3 intron 1 protein	AI1 Q0050
KIHCAMGN_00003	P05511	Uncharacterized 91 kDa protein in cob intron	SPMIT.06
KIHCAMGN_00003	P05511	Uncharacterized 91 kDa protein in cob intron	SPMIT.06
KIHCAMGN_00003	P05511	Uncharacterized 91 kDa protein in cob intron	SPMIT.06
KIHCAMGN_00003	P19593	Probable reverse transcriptase (EC 2.7.7.49)	
KIHCAMGN_00003	P19593	Probable reverse transcriptase (EC 2.7.7.49)	
KIHCAMGN_00003	P19593	Probable reverse transcriptase (EC 2.7.7.49)	
KIHCAMGN_00003	Q9FJR9	Nuclear intron maturase 2, mitochondrial (AtnMat2) (EC 3.1.-.-) (Nuclear intron maturase 1 b) (AtnMat1b)	NMAT2 NMAT1B At5g46920 MQD22.6
KIHCAMGN_00003	Q9FJR9	Nuclear intron maturase 2, mitochondrial (AtnMat2) (EC 3.1.-.-) (Nuclear intron maturase 1 b) (AtnMat1b)	NMAT2 NMAT1B At5g46920 MQD22.6
KIHCAMGN_00003	Q9FJR9	Nuclear intron maturase 2, mitochondrial (AtnMat2) (EC 3.1.-.-) (Nuclear intron maturase 1 b) (AtnMat1b)	NMAT2 NMAT1B At5g46920 MQD22.6
KIHCAMGN_00004	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00004	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00004	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00004	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00004	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00004	P9WKH9	Putative transposase for insertion sequence element IS986/IS6110 (ORFB)	Rv0796 MTV042.06; Rv1369c MTCY02B12.03c; Rv1756c MTCY28.22c; Rv1764 MTCY28.30; Rv2106 MTCY261.02; Rv2167c MTCY270.01; Rv2279 MTCY339.31c; Rv2355 MTCY98.24; Rv2479c MTV008.35c; Rv2649 MTCY441.18; Rv2814c MTCY16B7.29; Rv3185 MTV014.29; Rv3187 MTV014.31; Rv3326 MTV016.26; Rv3380c MTV004.38c; Rv3475 MTCY13E12.28
