locus_tag	ftype	length_bp	gene	EC_number	COG	product
MOBHGNKF_00001	CDS	972	sopB			Protein SopB
MOBHGNKF_00002	CDS	1167				hypothetical protein
MOBHGNKF_00003	CDS	756	repE			Replication initiation protein
MOBHGNKF_00004	CDS	117				hypothetical protein
MOBHGNKF_00005	CDS	138				hypothetical protein
MOBHGNKF_00006	CDS	807	xerC_1			Tyrosine recombinase XerC
MOBHGNKF_00007	CDS	306	ccdB_1			Toxin CcdB
MOBHGNKF_00008	CDS	219	ccdA_1			Antitoxin CcdA
MOBHGNKF_00009	CDS	996				hypothetical protein
MOBHGNKF_00010	CDS	933				hypothetical protein
MOBHGNKF_00011	CDS	1089	pifC			Transcriptional repressor PifC
MOBHGNKF_00012	CDS	870				hypothetical protein
MOBHGNKF_00013	CDS	1566				hypothetical protein
MOBHGNKF_00014	CDS	513				hypothetical protein
MOBHGNKF_00015	CDS	1134				hypothetical protein
MOBHGNKF_00016	CDS	390				hypothetical protein
MOBHGNKF_00017	CDS	438				hypothetical protein
MOBHGNKF_00018	CDS	207				hypothetical protein
MOBHGNKF_00019	CDS	2622				hypothetical protein
MOBHGNKF_00020	CDS	231				hypothetical protein
MOBHGNKF_00021	CDS	276				hypothetical protein
MOBHGNKF_00022	CDS	531				hypothetical protein
MOBHGNKF_00023	CDS	270				hypothetical protein
MOBHGNKF_00024	CDS	978	repB			RepFIB replication protein A
MOBHGNKF_00025	CDS	741	xerC_2			Tyrosine recombinase XerC
MOBHGNKF_00026	CDS	1170				hypothetical protein
MOBHGNKF_00027	CDS	114				hypothetical protein
MOBHGNKF_00028	CDS	366				hypothetical protein
MOBHGNKF_00029	CDS	1971	hemR		COG1629	Hemin receptor
MOBHGNKF_00030	CDS	792			COG5266	putative protein
MOBHGNKF_00031	CDS	519				IS66 family transposase ISEc22
MOBHGNKF_00032	CDS	780				IS21 family transposase IS100kyp
MOBHGNKF_00033	CDS	1023				hypothetical protein
MOBHGNKF_00034	CDS	1239				IS21 family transposase ISPpu7
MOBHGNKF_00035	CDS	378			COG1662	IS1 family transposase IS1X2
MOBHGNKF_00036	CDS	216				hypothetical protein
MOBHGNKF_00037	CDS	159				hypothetical protein
MOBHGNKF_00038	CDS	507	resA_1			Thiol-disulfide oxidoreductase ResA
MOBHGNKF_00039	CDS	762	nqrC	7.2.1.1	COG2869	Na(+)-translocating NADH-quinone reductase subunit C
MOBHGNKF_00040	CDS	1941				hypothetical protein
MOBHGNKF_00041	CDS	528	tpd		COG3470	34 kDa membrane antigen
MOBHGNKF_00042	CDS	1380				hypothetical protein
MOBHGNKF_00043	CDS	1284				hypothetical protein
MOBHGNKF_00044	CDS	1131				hypothetical protein
MOBHGNKF_00045	CDS	696	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
MOBHGNKF_00046	CDS	486	resA_2		COG0526	Thiol-disulfide oxidoreductase ResA
MOBHGNKF_00047	CDS	486				hypothetical protein
